quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2023-03-31,,7.581682514079691,3.8192653328737336,,CHL
2023-04-01,-5.323291851270373,,,-14.829931246268313,CHL
2023-06-30,,,,,CHL
2023-07-01,-4.259940978105748,,,-13.096272454729672,CHL
2023-09-30,,,,,CHL
2023-10-01,-1.7936357223037436,,,-13.118244947193547,CHL
2023-12-31,,,,,CHL
2024-01-01,0.4551922146550202,,,-1.6014029129085894,CHL
2024-03-31,,4.29763891572521,-11.134846785883044,,CHL
2024-04-01,0.5200814220548633,,,-2.147088770282058,CHL
2024-07-01,1.0593610254973296,,,1.031720167932404,CHL
2024-10-01,1.737282678191554,,,4.52794325913517,CHL
2000-01-01,,,,,COL
2000-03-31,,,,,COL
2000-04-01,,,,,COL
2000-06-30,,,,,COL
2000-07-01,,,,,COL
2000-09-30,,,,,COL
2000-10-01,,,,,COL
2000-12-31,,,,,COL
2001-01-01,,,,-1.37796988153136,COL
2001-03-31,,7.965560903048341,-9.42452656517112,,COL
2001-04-01,,,,5.830722147498513,COL
2001-06-30,,,,,COL
2001-07-01,,,,-0.7456177607342407,COL
2001-09-30,,,,,COL
2001-10-01,,,,-6.015417261463618,COL
2001-12-31,,,,,COL
2002-01-01,,,,-6.050200658123539,COL
2002-03-31,,6.3515072877886825,-7.474708303085265,,COL
2002-04-01,,,,-3.616914873393695,COL
2002-06-30,,,,,COL
2002-07-01,,,,-5.69404087048655,COL
2002-09-30,,,,,COL
2002-10-01,,,,0.3576911661362203,COL
2002-12-31,,,,,COL
2003-01-01,,,,6.863088116249183,COL
2003-03-31,,7.129788629418687,-13.61021285743641,,COL
2003-04-01,,,,5.299775472931145,COL
2003-06-30,,,,,COL
2003-07-01,,,,19.42044975276271,COL
2003-09-30,,,,,COL
2003-10-01,,,,11.276547257707946,COL
2003-12-31,,,,,COL
2004-01-01,,,,14.714846623947953,COL
2004-03-31,,5.904020055464954,9.596554907720446,,COL
2004-04-01,,,,20.090427237786045,COL
2004-06-30,,,,,COL
2004-07-01,,,,19.225711210398337,COL
2004-09-30,,,,,COL
2004-10-01,,,,35.21940190021995,COL
2004-12-31,,,,,COL
2005-01-01,,,,28.794637333768215,COL
2005-03-31,,5.051019626896958,13.103195053872806,,COL
2005-04-01,,,,32.586523052391044,COL
2005-06-30,,,,,COL
2005-07-01,,,,18.661275722839797,COL
2005-09-30,,,,,COL
2005-10-01,,,,15.99409692495053,COL
2005-12-31,,,,,COL
2006-01-01,14.19535324765624,,,21.399407119551373,COL
2006-03-31,,4.293423636289262,-1.451824872780283,,COL
2006-04-01,18.07529953839804,,,13.009681726070356,COL
2006-06-30,,,,,COL
2006-07-01,30.4710940981376,,,18.525392890975745,COL
2006-09-30,,,,,COL
2006-10-01,22.79608167570355,,,19.0546173556331,COL
2006-12-31,,,,,COL
2007-01-01,32.10495059080933,,,13.656128929850777,COL
2007-03-31,,5.544384858151563,13.610030724263543,,COL
2007-04-01,27.322077412676514,,,17.314658626407375,COL
2007-06-30,,,,,COL
2007-07-01,18.121763780623446,,,19.448531338105138,COL
2007-09-30,,,,,COL
2007-10-01,7.241041540855631,,,29.20409243663795,COL
2007-12-31,,,,,COL
2008-01-01,-6.388941600566389,,,33.59323594254702,COL
2008-03-31,,6.996884955545113,6.6156022942337245,,COL
2008-04-01,5.714943234185599,,,35.764285808372385,COL
2008-06-30,,,,,COL
2008-07-01,0.8928633905096683,,,26.600244021209463,COL
2008-09-30,,,,,COL
2008-10-01,4.292206654791819,,,-4.112187027143155,COL
2008-12-31,,,,,COL
2009-01-01,14.29307985630519,,,-9.529512980880671,COL
2009-03-31,,4.202516612164864,-9.150853308260698,,COL
2009-04-01,8.4746273050599,,,-20.084922660511417,COL
2009-06-30,,,,,COL
2009-07-01,9.829407361486789,,,-15.535441105593762,COL
2009-09-30,,,,,COL
2009-10-01,3.823202387716118,,,6.540487903685244,COL
2009-12-31,,,,,COL
2010-01-01,-1.635779143093974,,,14.670509272166088,COL
2010-03-31,,2.2720022789201044,12.812724450651649,,COL
2010-04-01,8.096697211287896,,,21.01410956904479,COL
2010-06-30,,,,,COL
2010-07-01,6.139102875276103,,,15.515882486049204,COL
2010-09-30,,,,,COL
2010-10-01,8.92417957818019,,,17.77620745125901,COL
2010-12-31,,,,,COL
2011-01-01,18.718605447914637,,,30.685043692426817,COL
2011-03-31,,3.4150334477624167,2.747215499800859,,COL
2011-04-01,11.434159883930109,,,39.35984224036267,COL
2011-06-30,,,,,COL
2011-07-01,11.4420008459164,,,40.00750736308743,COL
2011-09-30,,,,,COL
2011-10-01,11.888776041274074,,,33.40840446659507,COL
2011-12-31,,,,,COL
2012-01-01,8.085647948497709,,,21.986314973113785,COL
2012-03-31,,3.169301888400589,2.699529553355462,,COL
2012-04-01,7.751421590988805,,,4.312043321853176,COL
2012-06-30,,,,,COL
2012-07-01,2.327242604759272,,,2.0766114982009753,COL
2012-09-30,,,,,COL
2012-10-01,-1.797140200437286,,,1.74911484329483,COL
2012-12-31,,,,,COL
2013-01-01,3.875722344045984,,,-6.721046214463621,COL
2013-03-31,,2.016992243103788,-3.724952714432306,,COL
2013-04-01,6.011700088092109,,,2.4208857386648575,COL
2013-06-30,,,,,COL
2013-07-01,4.345762804304609,,,1.0992930043211002,COL
2013-09-30,,,,,COL
2013-10-01,17.946584371888076,,,0.58649543853313,COL
2013-12-31,,,,,COL
2014-01-01,12.96258940246684,,,-1.6601747407764211,COL
2014-03-31,,2.8988378776173773,-6.336090266992278,,COL
2014-04-01,12.165614705183293,,,-2.968282167488246,COL
2014-06-30,,,,,COL
